,title,vector,cluster
0,student,"[ 0.79618    0.5678    -0.96453   -0.1981    -0.18428    0.91728
  0.0092719  0.16862   -0.25747    1.1229    -0.5002    -0.17189
  0.39234    0.21015   -0.31069    0.30307   -0.07859   -0.073957
 -0.40416    0.45559   -0.90511   -0.21614    0.42923   -0.1103
 -0.043391  -0.79576   -0.24517   -1.107      0.079045   0.43802
 -0.66621    1.2244    -0.078216   0.43178   -0.57316   -0.61193
 -0.20767    0.45253   -0.33195   -0.07209   -0.83251    0.019382
 -0.049362   0.14225    0.34419   -0.2918    -0.056753   0.18813
  0.26894    0.26421   -0.23174   -0.66608   -0.30476    0.42726
  0.032755  -1.7065     0.10845   -0.50628    1.6526     0.24369
 -0.033579   0.086128  -0.24579   -0.061769   0.63102    0.090618
  0.77599    0.34899    1.0406     0.93388    0.18834   -0.24184
 -0.15399   -0.27489   -0.53584    0.78466    0.63599   -0.55433
 -0.52555   -1.0072     0.31415    0.24403   -0.014121  -1.2752
 -1.4468    -0.27753   -0.14488   -0.47632    0.44077   -0.62933
  0.26027    0.22618    0.3705     0.47078   -0.55834    0.39986
  0.16891   -0.28637    0.54823   -0.33597  ]",5
1,lachner,"[ 0.60572   -0.17014   -0.47187    0.30572    0.10881    0.087199
 -0.015695   0.38276    0.066039  -0.14629    0.25281    0.38152
 -0.46433   -0.25091    0.43148    0.30852   -0.38373    0.026684
  0.22091   -0.30772   -0.38252    0.15052   -0.079511  -0.016284
 -0.64559   -0.10791   -0.26777    0.72893    0.31346    0.26696
  0.036575  -0.5389     0.26133   -0.2438     0.058505  -0.17777
  0.13619   -0.20051   -0.42481   -0.0030757  0.24926    0.63626
  0.14462    0.26732    0.075798   0.13833   -0.12094    0.49238
  0.24099    0.35422    0.5512    -0.15025   -0.26099   -0.35164
  0.48653    0.68646   -0.24686    0.41672   -0.56679    0.095992
  0.46965   -0.26521    0.46708    0.19782   -0.086859  -0.32916
 -0.36712    0.2003    -0.2553     0.0090019 -0.27741   -0.15726
  0.18994    0.12755    0.10687   -0.23371    0.1869     0.13074
  0.67763    0.43129    0.1745     0.075174   0.1        0.15776
  0.2434     0.14672   -0.49656   -0.065537  -0.15141    0.16927
  0.49601   -0.62463   -0.33147    0.093334   0.082376  -0.017029
  0.040625   0.32023   -0.7749    -0.086747 ]",12
2,plastik,"[-0.070035   -0.23073    -0.63448     0.38257    -0.29764    -0.28387
  0.20304     0.18628     0.37675    -0.16089     0.24771     0.1876
 -0.17685    -0.00097784 -0.17059     0.25184     0.36464     0.29635
  0.1154     -0.073003   -0.022136    0.06592    -0.46149    -0.25922
 -0.30913     0.37084     0.16816     0.81417    -0.24914     0.21354
  0.10057    -0.19186     0.060728   -0.23243     0.065869   -0.46416
 -0.083655   -0.25863     0.28992     0.028518    0.54703    -0.0019605
 -0.25391     0.20501    -0.12133    -0.18325    -0.66308     0.7289
  0.039689    0.34935    -0.17257     0.10706    -0.28723    -0.51161
  0.31416     0.48552     0.22953     0.62443    -0.52446    -0.25109
  0.070518    0.0052496  -0.17072     0.0021658  -0.24948     0.054576
 -0.29857    -0.3376     -0.29701    -0.35889    -0.25133     0.38722
  0.033649    0.19457     0.049117    0.08244     0.073733   -0.068033
  0.55132    -0.094715   -0.2245     -0.059424    0.40022     0.095947
  0.71144     0.088816   -0.36854     0.064179   -0.10568     0.39173
 -0.057364    0.21204     0.16071    -0.19336     0.10938    -0.27638
  0.39655     0.079479   -0.1496     -0.21561   ]",4
3,wiedenbrück,"[ 0.11649   -0.18139   -0.32118    0.19136    0.13573    0.38851
  0.39452    0.054229   0.49134    0.067613   0.22641   -0.0077556
 -0.24118   -0.11901   -0.037564   0.67842   -0.25905    0.31698
  0.62764    0.13479   -0.14589   -0.38531    0.061316  -0.033904
 -0.68656   -0.053403   0.35962    0.46045   -0.098197  -0.23831
  0.28078   -0.14753    0.053717   0.055238   0.014     -0.14372
 -0.16468   -0.098077  -0.36687   -0.11519    0.0049097 -0.61036
  0.066021   0.55029   -0.036913  -0.2219     0.61712   -0.030136
 -0.28381    0.25385   -0.38009    0.32643   -0.17285   -0.13019
  0.27496    0.88717    0.11052   -0.0068969 -0.32397   -0.38366
 -0.38039   -0.056611  -0.47152   -0.17834   -0.25112    0.51452
  0.056848  -0.26383   -0.50374    0.11671    0.23627    0.19521
 -0.30004    0.69901   -0.42224   -0.23267    0.37789    0.071546
  0.32448   -0.07588   -0.41568   -0.075533   0.476      0.0081964
  0.57131    0.01947   -0.1955    -0.52765   -0.047959  -0.21729
 -0.037992   0.43014    0.4999     0.35478    0.21946    0.22134
  0.1434     0.73084   -0.10765   -0.29783  ]",12
4,shooter,"[ 3.5249e-01  8.0268e-02  5.7984e-01 -1.3129e-01 -5.1571e-01  9.1629e-02
  5.7465e-01 -9.1450e-01  2.9068e-01  2.8119e-01  3.1267e-01  1.9670e-01
  3.1675e-01 -2.5541e-01 -1.5621e-02  1.0674e+00 -1.6637e-01 -2.9648e-02
 -1.3214e+00 -1.2196e-01  4.3926e-01 -1.4570e-02 -1.5657e-01  7.7872e-02
  4.7792e-02  3.8249e-01 -1.8589e-01 -9.0643e-02 -6.7341e-01  8.5510e-02
 -3.7373e-01  6.3122e-01 -2.8169e-01  2.1744e-01  1.2874e+00 -9.6437e-01
 -7.2502e-01  4.2250e-01  1.0109e-01 -1.2840e-01  3.7156e-04  5.0833e-01
  2.3257e-01  2.1003e-01 -2.9298e-02  1.1489e-01  1.7990e-01 -1.2191e+00
  1.9688e-01  1.3106e-01 -4.4496e-01 -6.7868e-02  2.5037e-02  7.3561e-01
  6.1666e-01 -1.0197e+00 -2.4219e-01  3.1629e-01  9.2204e-01  3.1411e-01
 -2.7283e-01  4.2521e-01 -5.3766e-01  1.0498e+00  2.1235e-01 -4.6761e-01
  9.4997e-01 -1.4045e-01 -6.4600e-01  1.1981e+00 -6.6072e-02 -4.7890e-01
  5.0426e-01  5.7528e-01 -3.6705e-01  5.7652e-01  7.4784e-01 -2.0430e-01
  4.7648e-01 -4.9404e-01 -3.9962e-01  5.2759e-01 -7.1612e-01 -3.6169e-01
 -9.6695e-02 -2.3492e-01 -7.2280e-01  3.6276e-01  4.6488e-01 -7.5370e-03
  1.6748e-01  5.5533e-01  2.5101e-01 -2.8998e-02  6.4377e-01 -2.0123e-01
 -4.3097e-01 -2.7271e-01  4.2621e-01 -7.3992e-01]",15
5,bank,"[ 0.41869   -0.92211    0.048684   0.11798    0.22062   -0.32506
 -0.78456    0.43787   -0.14762    0.0631     0.23754    1.4837
 -0.54762    0.80406   -0.0037728  0.24949   -0.15523   -0.66263
 -0.060428   0.10121    0.51163    0.43285   -0.60858    0.22083
 -0.62269   -0.9374    -0.19981   -0.69866   -0.3368     0.40864
  0.46296    0.59369   -0.5655     0.24968   -0.37977   -0.84865
  0.60765   -0.035362   0.062735  -0.949      0.13185   -1.0301
 -0.077346   0.81087    0.18624    0.45122    0.36329    0.40375
 -0.77568   -1.2271    -0.47763    0.094753   1.0842     0.71649
 -0.89553   -2.4286    -0.62272   -0.74197    1.4537     1.1202
  0.12085   -0.52417   -0.007246   0.46182    0.82402    0.057731
 -0.11212    1.1369     1.2533    -0.16477   -0.18941   -0.34252
 -0.82302   -1.0924     0.0319    -0.14412   -0.11448    0.43761
 -1.0946    -0.2936     1.9768     0.10246   -0.53153    0.052601
 -0.50998   -0.18428   -0.13771   -0.27539    1.3457     0.061392
  0.43842    0.032165   0.22058   -0.65447   -0.72461    0.95152
  0.81584   -0.17933    0.43912    0.50967  ]",14
6,stuttgarter,"[-9.3671e-02 -1.2210e-01 -9.2819e-02 -2.5576e-01 -5.7933e-01  2.2732e-01
  5.6051e-01 -1.6895e-03 -4.2924e-01  7.2925e-02  5.7054e-01 -9.1560e-01
 -6.4671e-01 -5.0919e-02 -7.5731e-01  7.5700e-03  1.4766e-01 -9.2127e-01
  2.3380e-01 -7.9126e-01 -1.8849e-01 -2.0577e-01 -1.7659e+00  2.0578e-01
 -1.3475e-01 -5.3045e-01  4.5879e-01  7.3334e-01  1.4276e-01  6.9851e-01
 -5.0442e-01 -2.4754e-01  1.5903e-01 -1.4038e-01 -1.6232e-01  2.2527e-02
 -4.6550e-01  2.8700e-01 -1.7219e-01 -2.9879e-01  3.0966e-01  6.2107e-01
 -7.8633e-01  1.5874e-01 -7.9495e-01  1.5922e-01  5.5243e-01 -6.2692e-01
 -2.7835e-01  9.2191e-01 -5.3443e-01  1.9107e-01 -4.4671e-01  1.4217e-01
  2.6947e-01  1.1257e+00  1.7958e-01 -4.3683e-01 -7.8012e-01  6.5405e-02
  4.1358e-01 -6.0066e-01 -1.0188e+00 -6.0187e-01  2.4880e-01  1.4570e-01
 -2.1770e-01 -2.2790e-01 -5.1314e-01  3.1485e-01 -1.2951e-01  2.4891e-02
  4.8248e-01  1.8308e-01  6.2034e-01 -6.1586e-02  5.8087e-01 -2.2646e-02
 -6.6846e-01 -8.3543e-02  3.6619e-01 -1.5594e-01 -4.6776e-01  5.6152e-01
  4.2116e-01 -1.4194e+00  7.9652e-04  5.5519e-01 -4.6286e-01  6.6550e-01
 -7.8928e-01 -1.9681e-01  3.0463e-01  3.0025e-01 -3.5556e-01 -3.0367e-01
  3.4636e-01 -3.5349e-01  7.3594e-01  9.1817e-02]",1
7,königswinter,"[ 0.138     -0.62105    0.024211   0.1434    -0.070269   0.061442
 -0.14501   -0.17483    0.33278   -0.093431  -0.18023    0.0048857
 -0.2258     0.15341   -0.13245    0.30416   -0.34491   -0.11151
  0.094297  -0.30449   -0.23312    0.15765   -0.20177   -0.18464
 -0.3751    -0.044041  -0.059226   0.30071    0.085213   0.073527
 -0.13546   -0.37115    0.35786   -0.11685    0.14375   -0.31219
  0.13944   -0.31491    0.039122   0.17767    0.38242    0.10872
 -0.15641   -0.078421  -0.30388   -0.18276    0.16048    0.31878
 -0.19868    0.41028    0.048974   0.049231  -0.22188   -0.5736
 -0.12584    0.45456    0.14921   -0.017074  -0.69709   -0.37256
 -0.090442  -0.11436   -0.12814   -0.44307   -0.30625    0.21082
 -0.3164    -0.33523   -0.32365    0.023967  -0.11639   -0.092184
  0.13673    0.34503    0.13373    0.13814    0.31172   -0.18629
  0.54638    0.21453   -0.5039     0.32115   -0.089357   0.21487
  0.26735    0.23032   -0.082029   0.18827   -0.048246   0.34059
  0.35299    0.19151    0.1411     0.0087257  0.31346   -0.021485
  0.066201   0.36397   -0.14804    0.16276  ]",12
8,kreis,"[-3.7511e-01 -6.6862e-01  3.2217e-01 -8.1865e-01  8.7796e-03  2.3521e-01
 -2.0927e-01 -4.6477e-01  4.5741e-02  1.4308e-01 -5.3325e-02 -4.4063e-01
  3.1894e-01  6.4481e-01  2.7110e-01  1.6638e-01  1.5753e-01  2.8208e-01
 -9.6562e-01 -9.2563e-02  6.8108e-01  2.5572e-01 -6.9128e-01  5.7683e-01
 -1.2592e+00  5.0204e-01 -5.0822e-01  3.6784e-01 -3.7464e-01  6.8087e-01
 -4.3794e-01  2.6245e-01  4.9623e-01 -1.7042e-01  5.9548e-01 -8.6981e-01
  6.9415e-01  4.4417e-02 -4.9819e-01 -1.7068e-01  7.7258e-01 -1.7008e-01
 -1.4131e-01  5.8417e-01  1.7588e-01  9.4931e-02  4.5368e-01 -8.6388e-01
 -2.7563e-01  7.4856e-01 -4.3226e-01 -4.9593e-03 -7.8811e-01 -5.5073e-01
 -1.0915e+00  9.0653e-02 -2.6812e-01 -4.3663e-01 -5.3739e-01  2.6091e-01
  6.3400e-01  4.8536e-02 -4.5964e-01  1.0702e+00  2.0062e-01 -2.1754e-01
  8.2597e-02  3.4265e-01 -6.4920e-01  9.6986e-02  7.0124e-04 -1.0382e-01
  4.7845e-01  8.8740e-02 -8.5911e-02  8.9729e-02 -6.1746e-01 -4.5464e-01
  1.8253e-01  1.2755e-01 -8.2857e-01  6.1033e-01 -7.0988e-01 -1.1966e-01
  7.1808e-01  6.4460e-01 -7.1169e-01 -3.9541e-01  4.6390e-01 -2.4345e-01
 -4.8311e-01 -4.0572e-02 -7.9490e-02 -9.3747e-02  3.3554e-01 -3.9033e-01
  7.4749e-01  2.0068e-01 -6.5159e-01  3.2351e-01]",3
9,ton,"[-0.095926   0.71809   -0.25563   -0.22244   -0.53571   -1.2353
  0.47974    0.60357   -0.36848    0.89682    0.62867    0.16204
 -0.48078    0.087694   0.18981   -0.56924   -0.039724  -0.019156
 -0.10006   -0.070838   1.9553     0.45337   -0.59963   -0.030309
  0.57589   -0.094969  -0.5371    -0.17068    0.21105    0.2551
 -0.28687   -0.20259   -0.072459  -0.31733    0.057308  -0.18436
  0.20572    0.67234    0.62673   -0.0029474  0.17113   -0.57872
  0.44763   -0.49023    0.34037    0.11426   -0.76268   -1.0036
 -0.79037   -0.043272  -0.058573   0.03623    0.27496    0.68774
 -0.96545   -0.45195   -0.95577    0.1616     1.0539    -0.87651
  0.35079    0.35044   -1.0444     0.59513   -0.52101   -0.13667
  0.052658  -0.18961    0.70158   -0.2316     0.60211    0.12198
  0.50754    0.53728   -0.029931   0.50002    0.079636  -0.24682
 -0.58131    0.66945    0.29097   -0.39387   -0.25929   -0.068735
 -0.19846   -0.044036   0.37101   -0.98114   -0.11249    0.30633
 -0.38285    0.67613   -0.0044373 -0.78983    0.14943   -0.52919
  0.10351   -0.083738  -0.056105  -0.2517   ]",7
