,title,vector,cluster
0,,"[-0.056564  -0.26315   -0.52098   -0.3451     0.0053591 -0.35094
  0.60644   -0.54348    0.1603    -0.79123    0.082937  -0.22917
 -0.54314   -0.07642   -0.51759    0.0016212  0.98106    0.06526
  0.72995   -0.092481  -0.3053    -0.31382   -0.74717    0.62999
 -0.44299    0.40466   -0.22479    0.89908    0.28919   -0.093163
 -0.15915   -0.17801   -0.016975  -0.081416   0.22242    0.08783
  0.46379   -0.37289    0.24711   -0.017525   0.12544    0.29865
 -0.45512    0.50001   -0.39188   -0.081375   0.56924    0.77768
 -0.32767    0.31137    0.023631   0.29171   -0.25182   -0.62205
  0.04481    0.66039    0.32199   -0.054527  -0.69319   -0.66123
  0.80854   -0.70001   -0.23096   -0.089779  -0.51046    0.59215
 -0.093792  -0.057334  -0.43128    0.42565    0.15021    0.11592
  0.49956    0.026207  -0.066369  -0.073644  -0.13787    0.42021
 -0.12317   -0.27748    0.26866    0.043684  -0.85835    0.22969
  0.70417   -0.12884   -0.26074   -0.18795   -0.18537    0.72569
 -0.28163    0.059359   0.20822   -0.0011659  0.32161   -0.12309
  0.080007   0.16477   -0.16717   -0.20728  ]",30
1,krach,"[-0.014986  -0.51247   -0.42233   -0.064043   0.042849  -0.20335
 -0.053473   0.10085    0.48435   -0.057303  -0.17268    0.351
  0.24458   -0.25183   -0.049439   0.1329    -0.6063     0.43807
  0.12222    0.15233   -0.21935   -0.14495   -0.25892   -0.46655
 -0.40588   -0.083734  -0.033027   0.39482    0.18408    0.23055
  0.18434   -0.33742   -0.05106   -0.13439    0.057417  -0.37654
 -0.20841    0.045881   0.31812    0.011866   0.12171    0.57765
  0.059788   0.58979   -0.19553   -0.016242   0.044348  -0.058667
  0.092611  -0.01626    0.30636   -0.65977   -0.33569   -0.53006
  0.040568   0.81469    0.0094423  0.22164   -0.68872   -0.1821
 -0.11466   -0.099181   0.16106   -0.23324   -0.30921   -0.057212
 -0.051861   0.10467   -0.38289    0.073343   0.10153    0.18554
  0.30435    0.22685    0.14276   -0.017429  -0.064912   0.021292
  0.18306   -0.042665  -0.018754  -0.22099    0.1384    -0.11223
  0.6028    -0.029714  -0.062804   0.11123   -0.14945    0.17246
  0.1699    -0.10366   -0.018355  -0.11497    0.24768   -0.15271
  0.077314   0.47757   -0.74864    0.064034 ]",18
2,kobalt,"[ 1.7718e-01  2.3219e-01 -1.8020e-01  4.6034e-01  1.6468e-01 -3.7228e-02
  1.1625e-01  3.1529e-04  4.5204e-02  3.7635e-01  4.5776e-01  1.7475e-01
 -3.7843e-01 -1.0252e+00 -1.4527e+00  4.2076e-01  6.8296e-01 -6.1935e-01
  6.9252e-01 -2.9661e-01 -4.0676e-01 -1.0688e+00 -2.6969e-01 -2.0796e-01
  2.3139e-02  1.5443e-01 -1.0816e-02  7.8482e-01 -2.9110e-01  3.7406e-02
 -5.0847e-01 -3.0712e-01 -1.3388e-01 -6.3458e-03 -1.3130e-01 -5.3260e-01
 -4.6983e-01 -4.2927e-01 -5.3859e-01 -3.9319e-01 -1.1243e-01  2.8888e-02
  8.5126e-02 -2.7933e-01 -1.1076e+00 -4.8415e-01  2.6537e-01 -2.2859e-01
  2.4100e-01  6.1027e-02 -5.0939e-03  2.2343e-01 -4.9738e-01 -6.4886e-01
 -2.6936e-01  4.0297e-01 -2.9129e-01  8.3976e-01 -1.7018e-01  6.7151e-02
  6.8371e-01  1.6321e-01  1.3872e-01 -3.4546e-01 -4.6410e-01 -4.8830e-01
 -4.1382e-01 -3.2308e-01  7.1334e-01 -2.3726e-01 -7.9268e-01  3.9096e-01
 -4.4328e-01  3.0282e-01 -2.3695e-01  2.5332e-01  5.2936e-01 -1.6042e-01
  4.4141e-01 -4.0238e-01  2.1252e-01 -1.0660e-02 -1.9882e-01 -2.1693e-01
  6.4773e-01  7.3742e-01  6.4397e-01 -1.3561e-01 -2.4143e-01  7.5542e-01
  8.3546e-02  1.3992e-01  6.4246e-01  3.8060e-01  6.2595e-01 -5.9298e-01
  1.1593e-01  1.8494e-01  1.1488e+00  5.3500e-01]",30
3,freiheit,"[-6.9243e-02 -3.2594e-01 -4.2687e-01 -2.7620e-01 -1.8126e-01  1.6408e-01
 -7.9507e-02 -3.2397e-02 -3.2108e-01 -1.2712e-01  3.4511e-01  1.7003e-03
 -1.2384e-01  6.2906e-02 -1.6638e-01  9.9615e-02  7.3600e-01  5.0676e-02
  3.8007e-01 -4.2765e-02  1.1147e+00 -7.2340e-02 -8.2168e-01  1.0558e-01
 -8.3298e-02  5.9633e-01 -3.3775e-01  7.1159e-01  6.5733e-01  4.0895e-01
 -4.4911e-01 -7.1249e-02  1.4639e-01 -1.9372e-01  2.7629e-01 -5.2737e-02
  8.2255e-01 -6.6586e-01  1.4091e-01  2.3582e-01  1.7635e-01  5.8305e-01
 -7.9804e-01  5.8152e-01  1.8851e-01 -3.4159e-01  4.7953e-01  7.8386e-03
 -3.2379e-01  5.6051e-01 -2.2318e-01 -2.8179e-01 -6.5614e-01 -1.9532e-01
 -2.1210e-01  8.2458e-01  4.6064e-01  2.3188e-01 -2.6012e-01 -5.2954e-01
  7.6434e-01 -2.8619e-01 -1.3176e+00 -4.3806e-01  3.5254e-02  3.1437e-02
  8.4858e-02 -7.9891e-01  1.9030e-02 -4.5386e-01 -4.1980e-01  3.4652e-01
  7.0542e-02 -2.5840e-01  1.0533e+00  1.0291e-01  2.4051e-01 -7.4738e-02
 -4.7941e-01 -4.6376e-01 -4.2551e-01  6.8168e-02  1.8686e-01  6.6666e-02
  4.1672e-01 -6.2992e-01 -5.8763e-01 -4.1738e-02 -1.1017e-01  5.7707e-01
  4.6486e-02 -1.9366e-01  6.7764e-01  9.6403e-01  2.3404e-01  2.8511e-01
  1.0064e+00  1.0540e-01 -2.0434e-01 -1.1656e-03]",28
4,,"[-0.09818  -0.57387  -0.36872   0.019689 -0.032165 -0.357     0.064242
  0.14848   0.32888  -0.20864   0.24056  -0.19421  -0.47873  -0.17474
  0.39029   0.36205   0.088097  0.086729 -0.039972 -0.015481  0.23052
  0.16767  -0.13157  -0.11923  -0.10656   0.15323  -0.12173  -0.03633
  0.59741  -0.013801 -0.42117  -0.22347  -0.32299  -0.20121   0.21508
  0.30647   0.56139  -0.26405  -0.078077  0.063121  0.17409   0.28082
 -0.38631   0.35625  -0.27566   0.31544  -0.34537   0.21508  -0.21516
  0.2968   -0.10574  -0.13794  -0.28786  -0.45517  -0.15364   0.66039
  0.53679   0.12805  -0.60851  -0.090765  0.65015  -0.60142  -0.083223
  0.22424  -0.20623  -0.11908   0.18159  -0.018075  0.28335   0.25311
  0.085334  0.38682   0.037113  0.30278   0.32805  -0.29458   0.22175
 -0.050364  0.18243  -0.14758  -0.37804  -0.15697   0.26074  -0.3059
  0.24921  -0.55473  -0.54111  -0.25655  -0.23364   0.17874   0.076637
 -0.14583   0.52252   0.3497    0.47148   0.35146   0.3595   -0.2237
 -0.44348   0.27477 ]",18
5,,"[ 0.18502    0.055783  -0.38737    0.11558   -0.33999   -0.57181
 -0.046001   0.096634   0.32609    0.038661   0.02777   -0.25884
 -0.3667    -0.089396  -0.46101    0.37062   -0.011172  -0.053664
  0.31411    0.082807   0.13017   -0.17321   -0.44128   -0.092637
 -0.2274     0.79189   -0.10926    0.5648    -0.040523   0.28313
 -0.55446   -0.63928   -0.033988  -0.087751  -0.33937   -0.50535
 -0.14167   -0.47656    0.18889   -0.54559    0.24873    0.24505
 -0.039611   0.14444    0.016792  -0.43773    0.28579    0.44515
 -0.047468   0.37403   -0.14465    0.16829   -0.34206   -0.34683
 -0.28288    0.51942    0.40321    0.49109   -0.57731   -0.10549
  0.46482   -0.11972   -0.79884    0.040411  -0.27909   -0.054906
  0.3243    -0.2786     0.32616   -0.27205    0.18208    0.45676
  0.20538    0.22343   -0.17626    0.027687  -0.14169   -0.25971
  0.5827    -0.32258   -0.015759  -0.053865   0.21605    0.0051839
  0.21261    0.12803   -0.39427    0.11492    0.12574    0.54303
 -0.378      0.0056038  0.26359   -0.010758   0.63017    0.033516
  0.39721    0.47172    0.096764  -0.24064  ]",6
6,bericht,"[ 0.01835   -0.30917   -0.10731    0.036485  -0.15759   -0.31775
  0.034472   0.17942    0.18829   -0.26498    0.30559    0.016423
 -0.21331    0.2323    -0.15713    0.54736    0.26438    0.59732
 -0.026428  -0.05327    0.34197    0.54353   -0.86276    0.036438
 -0.11739    0.41742    0.024028   0.014614   0.52535   -0.032291
 -0.12991   -0.34251   -0.14697   -0.20787    0.025561   0.1684
 -0.33773   -0.18295    0.010444  -0.037273   0.3525     0.50613
 -0.29608    0.35165    0.16069   -0.71604   -0.43332    0.41746
 -0.25598    0.23907    0.14498    0.2196    -0.21625   -0.49373
 -0.09931    0.72983    0.68341    0.35559   -0.693     -0.37031
  0.017307  -0.063619  -0.24638   -0.60958    0.089828   0.3182
 -0.39909   -0.061496  -0.085764   0.06004    0.16817    0.78654
  0.031562   0.15723   -0.13885    0.09225    0.40006   -0.034352
  0.26076   -0.056568  -0.3876     0.092204   0.30954   -0.088968
  0.29561   -0.65622    0.073289  -0.44887    0.006788   0.7214
 -0.054118  -0.049415   0.49306   -0.096523   0.92127   -0.0052866
  0.057876   0.21359   -0.30542    0.13745  ]",6
7,spion,"[ 0.59248    0.075761  -0.33855    0.61287   -0.83081   -0.023067
 -0.15034   -0.31696   -0.29242   -0.32777    0.81918    0.44047
 -0.011879  -0.73548    0.14345    0.16906    0.11579   -0.35398
  0.5881    -0.48005   -0.1446    -0.72262   -0.19197   -0.73884
  0.16916   -0.18079    0.25403    0.52824    0.086768  -0.14946
  0.60969   -0.12335    0.71975    0.1391     0.081693  -0.1383
  0.18842   -0.17139    0.64348   -0.20213    0.20762    0.50897
 -0.025408   0.12553    0.014107   0.023039   0.47442    0.70676
 -0.49539    0.79652   -0.27129    0.22344   -0.24259   -0.18934
 -0.080556   0.38371   -0.0028255 -0.27567   -0.84709   -0.45924
  0.076444   0.24888   -0.27902   -0.08891   -0.59955    0.17901
 -0.30451   -0.4043    -0.74177    0.030357   0.20326    0.5141
  0.48129   -0.062595  -0.69672   -0.29184   -0.083041   0.47072
  0.60214   -0.038636  -0.0033746 -0.48949    0.15358    0.0175
  0.42594   -0.24776   -0.74425    0.29025    0.37792   -0.22576
 -0.17935    0.3277     0.30354    0.63005    0.47089    0.1762
  0.67026    0.48796    0.13355    0.33945  ]",30
8,,"[-0.57019  -0.37501  -0.15396  -1.2058    0.55018   0.68737   0.51818
 -0.27594   0.16035  -0.3085    0.27816  -0.23593   0.53455  -0.2476
 -0.12907   0.38505   0.5962   -0.84848   0.39544  -0.53711  -0.57607
  0.052854 -0.61382   0.2877   -0.087655 -0.23374  -0.33649   0.23501
 -0.48049   0.80984  -0.38742   0.42223  -0.14744   0.25086  -0.14195
  0.52768  -0.099498  0.35827   0.083041 -0.49554  -0.20231   0.15561
 -0.74461  -0.49114  -0.8933   -0.91733  -0.26876  -0.69582   0.32406
 -0.014324  0.52583   0.21828  -0.026506 -0.41644   0.013868 -0.79565
  0.22155  -0.46277   1.292     0.41625   0.08335  -0.030058 -0.38625
 -1.0129    0.40693  -0.62217   0.21707  -0.15659   1.7754    0.13413
  0.64705   0.64643  -0.44196  -0.43909  -0.79183   0.18568   0.51124
 -0.26559  -1.0154   -0.88419  -0.066363  0.32588  -0.40854   0.061022
  0.37594  -0.87385   0.16209  -0.63325  -0.26943  -0.13845  -0.10517
  0.77297   0.58013  -0.76003   0.18742   0.53911   0.31006  -0.40768
  0.39424   0.90199 ]",27
9,nummer,"[-0.046674 -0.27771  -0.2899    0.18449  -0.094335 -0.3647    0.37657
  0.12277  -0.033447 -0.46423   0.073067  0.14188   0.16968   0.083368
 -0.069623  0.08143  -0.027862  0.6461    0.060589  0.22239   0.16147
 -0.38718  -0.5328   -0.1766   -0.19919   0.53927   0.28217   0.49176
  0.12516   0.53701  -0.27029  -0.048051  0.21802  -0.2242    0.097794
  0.01023  -0.15284  -0.16931  -0.073137 -0.07198   0.51728   0.12954
  0.051904  0.26243   0.17473  -0.34261  -0.37515   0.26095   0.04078
  0.76448   0.062583 -0.18284  -0.37759  -0.1641   -0.15928   0.48334
  0.46317  -0.1566   -0.46394  -0.065712  0.012993 -0.59856  -0.58586
 -0.097759 -0.071317  0.23317  -0.76624   0.026563 -0.054606 -0.074063
 -0.091638  0.21169   0.16307   0.47153   0.12805   0.13756  -0.1499
  0.18096   0.24839   0.12071   0.016332 -0.43728   0.29131  -0.078799
  0.79304  -0.2212    0.257    -0.015791 -0.36558   0.39874  -0.58744
  0.25215   0.48215  -0.064732  0.29198   0.069984  0.14135  -0.053881
 -0.20842  -0.19567 ]",6
